speed,timestamp,waypoints,ego_bbox,npc_bbox,npc_forward
2.0,46.371393147856,"[[46.01232513231251, -156.24829788263233], [46.02516850555483, -156.34510673346753], [46.09071208003152, -157.4368976472754], [46.14238282137828, -159.262944659371]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[155.84515380859375, 37.38996124267578], [155.84524536132812, 37.0174446105957], [154.202392578125, 37.38955307006836], [154.20248413085938, 37.01703643798828]]","[-0.9999536871910095, -0.0002490484621375799]"
2.0,46.47139314934611,"[[46.03997165517134, -156.26555848177279], [46.04803592774111, -156.24239165436356], [46.097563942566524, -157.09168049197362], [46.122241050850754, -158.698927938032]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[155.61856079101562, 37.3896484375], [155.61851501464844, 37.01713180541992], [153.9757843017578, 37.38987350463867], [153.97573852539062, 37.017356872558594]]","[-0.9999551773071289, 0.0001362818875350058]"
2.0,46.57139315083623,"[[46.045307826952076, -156.2759247192887], [46.052319928800124, -156.23212006610942], [46.09989846589883, -157.040474299917], [46.12232248670797, -158.6124118094134]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[155.3968048095703, 37.389678955078125], [155.39675903320312, 37.01716232299805], [153.75399780273438, 37.38990783691406], [153.7539520263672, 37.017391204833984]]","[-0.9999752044677734, 0.00013914557348471135]"
2.0,46.671393152326345,"[[46.039052445927986, -156.27951220662922], [46.04252866586712, -156.21504819351063], [46.09726345226094, -156.97826581468541], [46.12843353933741, -158.5083764987458]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[155.1769256591797, 37.389713287353516], [155.17686462402344, 37.01719665527344], [153.5341033935547, 37.38993835449219], [153.5340576171875, 37.017425537109375]]","[-0.9999829530715942, 0.00013914665032643825]"
2.0,46.77139315381646,"[[46.034297493511936, -156.27116505808047], [46.039493256814644, -156.22497618549613], [46.093444219609445, -157.04007219480405], [46.12080673670848, -158.64190732656988]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[154.95870971679688, 37.38974380493164], [154.9586639404297, 37.01722717285156], [153.31588745117188, 37.38996887207031], [153.3158416748047, 37.0174560546875]]","[-0.9999862313270569, 0.00013914710143581033]"
2.0,46.87139315530658,"[[46.038502791811915, -156.2782598946792], [46.03969995037718, -156.211678665544], [46.092473309696935, -156.96148641065906], [46.12303409102997, -158.46542075122866]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[154.74209594726562, 37.389774322509766], [154.74203491210938, 37.01725769042969], [153.09927368164062, 37.38999938964844], [153.09921264648438, 37.017486572265625]]","[-0.9999876618385315, 0.00013914730516262352]"
2.0,46.971393156796694,"[[46.040513079952866, -156.2795522348698], [46.041178763235045, -156.20877289383964], [46.091900171384545, -156.95718859751457], [46.11912571139115, -158.47133385952097]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[154.5270233154297, 37.389801025390625], [154.52696228027344, 37.01728820800781], [152.8842010498047, 37.39002990722656], [152.88414001464844, 37.01751708984375]]","[-0.9999883770942688, 0.00013914740702603012]"
2.0,47.07139315828681,"[[46.03591688833622, -156.28272622667532], [46.03450169543742, -156.19485162945026], [46.088883500226366, -156.89921836973068], [46.12185186775151, -158.35893103260187]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[154.33221435546875, 37.38983154296875], [154.33216857910156, 37.01731872558594], [152.6893768310547, 37.39006042480469], [152.68931579589844, 37.017547607421875]]","[-0.9999997615814209, 0.00013914899318479002]"
2.0,47.171393159776926,"[[46.040244017877825, -156.27614089067237], [46.040870778519384, -156.20327281473777], [46.0914398606253, -156.95199685332804], [46.11739493280217, -158.47161799426]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[154.18772888183594, 37.38984298706055], [154.1876678466797, 37.017330169677734], [152.54489135742188, 37.390071868896484], [152.54483032226562, 37.01755905151367]]","[-0.9999938607215881, 0.000139148163725622]"
2.0,47.27139316126704,"[[46.03837851929903, -156.2894255666372], [46.03533224952878, -156.188210148032], [46.087183140079595, -156.8634385904542], [46.1184862400633, -158.29259726014405]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[154.06886291503906, 37.38985824584961], [154.06881713867188, 37.0173454284668], [152.42604064941406, 37.39008712768555], [152.4259796142578, 37.017574310302734]]","[-0.9999942779541016, 0.0001391482219332829]"
2.0,47.37139316275716,"[[46.03701723704147, -156.28502272611473], [46.035193432765254, -156.1907209570913], [46.08809157658254, -156.88774679464873], [46.11863955574463, -158.34996520661215]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[153.9683837890625, 37.38987350463867], [153.96832275390625, 37.01736068725586], [152.32553100585938, 37.39010238647461], [152.3254852294922, 37.0175895690918]]","[-0.9999975562095642, 0.00013914868759457022]"
2.0,47.471393164247274,"[[46.034816702704745, -156.28703406777421], [46.03187782567738, -156.18566787035496], [46.086471611673936, -156.86680282316905], [46.11952547334227, -158.31222083221334]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[153.8832244873047, 37.389888763427734], [153.88316345214844, 37.01737594604492], [152.24037170410156, 37.39011764526367], [152.24032592773438, 37.01760482788086]]","[-0.999999463558197, 0.00013914894952904433]"
2.0,47.57139316573739,"[[46.03934658755074, -156.27322152956094], [46.04043730603794, -156.20050487526004], [46.0928232124294, -156.95600544299094], [46.11988924673346, -158.49154565147262]]","[[156.2783966064453, 44.21657180786133], [158.40594482421875, 44.27412796020508], [156.41094970703125, 39.316680908203125], [158.5384979248047, 39.374237060546875]]","[[153.81105041503906, 37.3899040222168], [153.8109893798828, 37.017391204833984], [152.16819763183594, 37.390132904052734], [152.16815185546875, 37.01762008666992]]","[-1.0, 0.00013914902228862047]"
